DEB_TYPE|DEB_ORDER_SEQ_NBR|DEB_DESC|DEB_YEAR|DEB_PERIOD|DEB_PERIOD_SEQ_NBR|DEB_AMOUNT
M|0|Mortgage|2017|Y2017|0|155033
M|1|SUV|2017|Y2017|0|199640
M|2|Impreza|2017|Y2017|0|17945
M|3|Credit Card (Tim)|2017|Y2017|0|0
M|4|Citibank|2017|Y2017|0|0
M|5|Loan|2017|Y2017|0|24300
M|6|Taxes|2017|Y2017|0|11462
M|7|Credit Union|2017|Y2017|0|65214
M|8|Total|2017|Y2017|0|473596
M|0|Mortgage|2018|Jan|1|151386
M|1|SUV|2018|Jan|1|198434
M|2|Impreza|2018|Jan|1|16538
M|3|Credit Card (Tim)|2018|Jan|1|0
M|4|Citibank|2018|Jan|1|65866
M|5|Loan|2018|Jan|1|23935
M|6|Taxes|2018|Jan|1|11246
M|7|Credit Union|2018|Jan|1|64
M|8|Total|2018|Jan|1|467472
M|0|Mortgage|2018|Feb|2|147739
M|1|SUV|2018|Feb|2|196611
M|2|Impreza|2018|Feb|2|16538
M|3|Credit Card (Tim)|2018|Feb|2|0
M|4|Citibank|2018|Feb|2|65208
M|5|Loan|2018|Feb|2|23571
M|6|Taxes|2018|Feb|2|0
M|7|Credit Union|2018|Feb|2|17010
M|8|Total|2018|Feb|2|466679
M|0|Mortgage|2018|Mar|3|147074
M|1|SUV|2018|Mar|3|195746
M|2|Impreza|2018|Mar|3|15275
M|3|Credit Card (Tim)|2018|Mar|3|0
M|4|Citibank|2018|Mar|3|64549
M|5|Loan|2018|Mar|3|23199
M|6|Taxes|2018|Mar|3|0
M|7|Credit Union|2018|Mar|3|0
M|8|Total|2018|Mar|3|445844
M|0|Mortgage|2018|Apr|4|146408
M|1|SUV|2018|Apr|4|194880
M|2|Impreza|2018|Apr|4|14011
M|3|Credit Card (Tim)|2018|Apr|4|0
M|4|Citibank|2018|Apr|4|63891
M|5|Loan|2018|Apr|4|22827
M|6|Taxes|2018|Apr|4|0
M|7|Credit Union|2018|Apr|4|0
M|8|Total|2018|Apr|4|442020
M|0|Mortgage|2018|May|5|145743
M|1|SUV|2018|May|5|194015
M|2|Impreza|2018|May|5|12748
M|3|Credit Card (Tim)|2018|May|5|0
M|4|Citibank|2018|May|5|63232
M|5|Loan|2018|May|5|22455
M|6|Taxes|2018|May|5|0
M|7|Credit Union|2018|May|5|0
M|8|Total|2018|May|5|438195
M|0|Mortgage|2018|Jun|6|145077
M|1|SUV|2018|Jun|6|193149
M|2|Impreza|2018|Jun|6|11484
M|3|Credit Card (Tim)|2018|Jun|6|0
M|4|Citibank|2018|Jun|6|62574
M|5|Loan|2018|Jun|6|22083
M|6|Taxes|2018|Jun|6|0
M|7|Credit Union|2018|Jun|6|0
M|8|Total|2018|Jun|6|434370
M|0|Mortgage|2018|Jul|7|144412
M|1|SUV|2018|Jul|7|192284
M|2|Impreza|2018|Jul|7|10220
M|3|Credit Card (Tim)|2018|Jul|7|0
M|4|Citibank|2018|Jul|7|61915
M|5|Loan|2018|Jul|7|21712
M|6|Taxes|2018|Jul|7|0
M|7|Credit Union|2018|Jul|7|0
M|8|Total|2018|Jul|7|430545
M|0|Mortgage|2018|Aug|8|143746
M|1|SUV|2018|Aug|8|191418
M|2|Impreza|2018|Aug|8|8957
M|3|Credit Card (Tim)|2018|Aug|8|0
M|4|Citibank|2018|Aug|8|61257
M|5|Loan|2018|Aug|8|21340
M|6|Taxes|2018|Aug|8|0
M|7|Credit Union|2018|Aug|8|0
M|8|Total|2018|Aug|8|426720
M|0|Mortgage|2018|Sep|9|143081
M|1|SUV|2018|Sep|9|190553
M|2|Impreza|2018|Sep|9|7693
M|3|Credit Card (Tim)|2018|Sep|9|0
M|4|Citibank|2018|Sep|9|60598
M|5|Loan|2018|Sep|9|20968
M|6|Taxes|2018|Sep|9|0
M|7|Credit Union|2018|Sep|9|0
M|8|Total|2018|Sep|9|422895
M|0|Mortgage|2018|Oct|10|142416
M|1|SUV|2018|Oct|10|189687
M|2|Impreza|2018|Oct|10|6430
M|3|Credit Card (Tim)|2018|Oct|10|0
M|4|Citibank|2018|Oct|10|59939
M|5|Loan|2018|Oct|10|20596
M|6|Taxes|2018|Oct|10|0
M|7|Credit Union|2018|Oct|10|0
M|8|Total|2018|Oct|10|419070
M|0|Mortgage|2018|Nov|11|141750
M|1|SUV|2018|Nov|11|188822
M|2|Impreza|2018|Nov|11|5166
M|3|Credit Card (Tim)|2018|Nov|11|0
M|4|Citibank|2018|Nov|11|59281
M|5|Loan|2018|Nov|11|20224
M|6|Taxes|2018|Nov|11|0
M|7|Credit Union|2018|Nov|11|0
M|8|Total|2018|Nov|11|415245
M|0|Mortgage|2018|Dec|12|141085
M|1|SUV|2018|Dec|12|187956
M|2|Impreza|2018|Dec|12|3902
M|3|Credit Card (Tim)|2018|Dec|12|0
M|4|Citibank|2018|Dec|12|58622
M|5|Loan|2018|Dec|12|19853
M|6|Taxes|2018|Dec|12|0
M|7|Credit Union|2018|Dec|12|0
M|8|Total|2018|Dec|12|411420
A|0|Mortgage|2012|Y2012|0|376810
A|1|SUV|2012|Y2012|0|270657
A|2|Car|2012|Y2012|0|0
A|3|Credit Card (Tim)|2012|Y2012|0|0
A|4|Citibank|2012|Y2012|0|0
A|5|Loan|2012|Y2012|0|0
A|6|Taxes|2012|Y2012|0|0
A|7|Credit Union|2012|Y2012|0|90517
A|8|Other|2012|Y2012|0|297556
A|9|Total|2012|Y2012|0|1035541
A|0|Mortgage|2013|Y2013|0|369531
A|1|SUV|2013|Y2013|0|260346
A|2|Car|2013|Y2013|0|0
A|3|Credit Card (Tim)|2013|Y2013|0|0
A|4|Citibank|2013|Y2013|0|0
A|5|Loan|2013|Y2013|0|0
A|6|Taxes|2013|Y2013|0|0
A|7|Credit Union|2013|Y2013|0|121104
A|8|Other|2013|Y2013|0|222647
A|9|Total|2013|Y2013|0|973630
A|0|Mortgage|2014|Y2014|0|358493
A|1|SUV|2014|Y2014|0|249790
A|2|Car|2014|Y2014|0|0
A|3|Credit Card (Tim)|2014|Y2014|0|31881
A|4|Citibank|2014|Y2014|0|0
A|5|Loan|2014|Y2014|0|0
A|6|Taxes|2014|Y2014|0|0
A|7|Credit Union|2014|Y2014|0|39509
A|8|Other|2014|Y2014|0|228315
A|9|Total|2014|Y2014|0|907989
A|0|Mortgage|2015|Y2015|0|348233
A|1|SUV|2015|Y2015|0|237182
A|2|Car|2015|Y2015|0|0
A|3|Credit Card (Tim)|2015|Y2015|0|34248
A|4|Citibank|2015|Y2015|0|0
A|5|Loan|2015|Y2015|0|0
A|6|Taxes|2015|Y2015|0|0
A|7|Credit Union|2015|Y2015|0|73422
A|8|Other|2015|Y2015|0|169918
A|9|Total|2015|Y2015|0|863005
A|0|Mortgage|2016|Y2016|0|244245
A|1|SUV|2016|Y2016|0|220708
A|2|Car|2016|Y2016|0|33705
A|3|Credit Card (Tim)|2016|Y2016|0|35349
A|4|Citibank|2016|Y2016|0|0
A|5|Loan|2016|Y2016|0|23546
A|6|Taxes|2016|Y2016|0|14057
A|7|Credit Union|2016|Y2016|0|4550
A|8|Other|2016|Y2016|0|14131
A|9|Total|2016|Y2016|0|590295
A|0|Mortgage|2017|Y2017|0|155033
A|1|SUV|2017|Y2017|0|199640
A|2|Car|2017|Y2017|0|17945
A|3|Credit Card (Tim)|2017|Y2017|0|0
A|4|Citibank|2017|Y2017|0|0
A|5|Loan|2017|Y2017|0|24300
A|6|Taxes|2017|Y2017|0|11462
A|7|Credit Union|2017|Y2017|0|65214
A|8|Other|2017|Y2017|0|0
A|9|Total|2017|Y2017|0|473596
A|0|Mortgage|2018|Feb|2|147739
A|1|SUV|2018|Feb|2|196611
A|2|Car|2018|Feb|2|16538
A|3|Credit Card (Tim)|2018|Feb|2|0
A|4|Citibank|2018|Feb|2|65208
A|5|Loan|2018|Feb|2|23571
A|6|Taxes|2018|Feb|2|0
A|7|Credit Union|2018|Feb|2|17010
A|8|Other|2018|Feb|2|0
A|9|Total|2018|Feb|2|466679
